,title,topic,stance,comment,parent_id,comment_id,viewpoint
28,would  proof of creationism change your ethics?,evolution,support,"If all that a person wants to do in life is make others fail and feel bad about themselves to make yourself look and feel more sucessfull, then would you be a person who would fit in in a good environment? Or would someone who went through life trying to help others suceed and feel better about themselves enjoy an atmosphere of goodness more? Im thinkin the ******* would be better placed in with people who have the same agenda as him/her.",15,29,topic_stance_votes_1
29,would  proof of creationism change your ethics?,evolution,support,"If you absolutely knew 100% for sure that god and the devil existed, then you would be absolutely terrified to do anything for fear that it may be something that will damn you to hell. Not knowing for sure has a lot to do with the freedom of choice that god so kindly gave us.",16,30,topic_stance_votes_1
30,would  proof of creationism change your ethics?,evolution,support,MMMmmmm... candy. pmplmao!!!,19,31,topic_stance_votes_1
31,would  proof of creationism change your ethics?,evolution,support,"You are stating that the outcome for mere mortals is dictated by mere mortals. What does this have to do with gods omniscence? This is the definition of free will. God does not controll our every move and I am greatfull to him for that. I just hope that he shows me the right path through life so that when I am at lifes end, I get to go to a place where there are people with good hearts, and not to a place where there are people who wish to make me seem like a lesser person to improve how they are seen.",24,32,topic_stance_votes_1
32,would  proof of creationism change your ethics?,evolution,support,"I think mayabe even the most hardened athiests are not 100% sure, and this may be where there morality stems from. Or mayabe the laws of there country that they were raised to obey?",26,33,topic_stance_votes_1
33,would  proof of creationism change your ethics?,evolution,support,"Everything. If your decisions are your choice, and are not written in the divine plan, God cannot know what you will do, and if it does not know that, it cannot be ominscient.",32,34,topic_stance_votes_1
34,would  proof of creationism change your ethics?,evolution,support,how do you know that God doesn't control your every move?,32,35,topic_stance_votes_1
35,would  proof of creationism change your ethics?,evolution,support,We don't. But that thought nullifies Christianity.,35,36,topic_stance_votes_1
36,would  proof of creationism change your ethics?,evolution,support,"Just because you are free to choose your own destiny, doesnt mean that god doesnt know what the outcome will be.",34,37,topic_stance_votes_1
37,would  proof of creationism change your ethics?,evolution,support,"I dont. And thats what allows me to choose my own destiny. If I want to be a rotten person, then I can do so without knowing 100% for sure that the devil is laughing and god is disappointed with me.",35,38,topic_stance_votes_1
38,would  proof of creationism change your ethics?,evolution,support,"If the outcome of a destiny is known before it is even started, that negates free will",37,39,topic_stance_votes_1
39,would  proof of creationism change your ethics?,evolution,support,"I've gone back and forth on that one for almost 2 decades now. If you can prove that statement, you deserve a medal. LIkewise, a medal for whoever can disprove it.
Note: no actual medals will be rewarded",39,40,topic_stance_votes_1
40,would  proof of creationism change your ethics?,evolution,support,"It's a matter of logic, and looking at what the definitions are. CHOICE means there are muliple possible otucomes, but if the outcome is known before the 'choice' is presented, then there is really no choice at all.",40,41,topic_stance_votes_1
41,would  proof of creationism change your ethics?,evolution,support,Excellent ! You took the bait.,31,42,topic_stance_votes_1
42,would  proof of creationism change your ethics?,evolution,support,"I don't think so. Choice is choosing between multiple outcomes. (I know that's a bit circular, sue me :) ) Why does my knowing what you're going to choose mean you aren't choosing?
For example, I decided to wear a green shirt today. That was a choice. I know I chose it. If it turns out some guy in China knew last week that I was going to choose that today, does it stop being a choice? Was it never a choice? If it wasn't, than what process did I go through while poking through my shirt drawer, because it really felt like choosing to me.",41,43,topic_stance_votes_1
43,would  proof of creationism change your ethics?,evolution,support,"interesting. would you then say that laws against certain behaviors (such as murder and rape) are also restricting free will? i mean, knowing that selling drugs will very likely end you up in jail, yet there are drug dealers all over, and every day they are getting busted. it still doesnt stop those that chose to deal drugs from doing so. so huw much does a known consequence really affect free will?",30,44,topic_stance_votes_1
44,would  proof of creationism change your ethics?,evolution,support,"here is where i disagree with your definition of omniscience. as ive said time and time again, omniscience simply means knowing everything that is. it has nothing to do with predicting the future.",34,45,topic_stance_votes_1
45,would  proof of creationism change your ethics?,evolution,support,"if the guy in china last week knew for 100% certainty that you were going to wear a green shirt today, then you had no choice in the matter, and you did not choose to wear the shirt. if you were free to choose any shirt you wanted to, but chose the green shirt, and it happened to coincide with the chinese guy's prediction, then he made a lucky guess and did not know with 100% certainty that you would wear that green shirt",43,46,topic_stance_votes_1
46,would  proof of creationism change your ethics?,evolution,support,"Then what did I do? It sure felt like choosing. And if it wasn't me choosing, then what process did determine what shirt I ended up in?",46,47,topic_stance_votes_1
47,would  proof of creationism change your ethics?,evolution,support,"If someone KNEW you were going to 'choose' it before you were given the choice.. indeed before you knew the choice was to be had, did you have a choice, or did you have the illusion of choice? If it is 'known' that you would 'choose' that green shirt ahead of time, with 100% accuracy, is it a choice, or are you just a puppet.",43,48,topic_stance_votes_1
48,would  proof of creationism change your ethics?,evolution,support,It doesn't matter the process..what matters is that there is only one possible result.,47,49,topic_stance_votes_1
49,would  proof of creationism change your ethics?,evolution,support,Of course it matters. I ended up in this green shirt somehow. You say it wasn't a matter of my choosing. In that case there must have been some other mechanism at work. What is it? To my mind if you can't name a mechanism then it's a substantial hole in your philosophy.,49,50,topic_stance_votes_1
50,would  proof of creationism change your ethics?,evolution,support,"Oh. I have a simple out. I don't believe in 100% foreknowledge, by anybody or anything. If there is no 100% foreknowledge, then the contradiction of 'free will' vs 'predestination' is resolved.",50,51,topic_stance_votes_1
51,would  proof of creationism change your ethics?,evolution,support,"Not if you arent the one who knows. Just because he knows the final outcome of what you will do, doesnt mean that he is making you do what you do.",39,52,topic_stance_votes_1
52,would  proof of creationism change your ethics?,evolution,support,"You missed my point: you may believe you are exercising your free will, but you may not as God may be controlling the way you make decisions.",38,53,topic_stance_votes_1
53,would  proof of creationism change your ethics?,evolution,support,The guy in China couldn’t possibly know it. Why argue based on impossibility?,46,54,topic_stance_votes_1
54,would  proof of creationism change your ethics?,evolution,support,"That isnt an absolute. There are lots of drug dealers that never get caught. Although, I dont often see anyone try to dive down to the titanic with a snorkel and fins. Even though there isnt a law against that. But I am just pointing out an absolute consequence, wich in this case would be death.",44,55,topic_stance_votes_1
55,would  proof of creationism change your ethics?,evolution,support,"He is controlling my decisions. Stealing is wrong, so I dont steal. Even when my life would be easier if I did. But I have the choice to do so if I want to.",53,56,topic_stance_votes_1
56,would  proof of creationism change your ethics?,evolution,support,"Why? It doesn't matter if you are forced, the matterv is that it is known.",52,57,topic_stance_votes_1
57,would  proof of creationism change your ethics?,evolution,support,"It is the fact that it could be known that is important.. with 100% accuracy.
All else is irrelavent.",54,58,topic_stance_votes_1
58,would  proof of creationism change your ethics?,evolution,support,I know that the sun is commin up tomorrow. Does that mean that the sun is predestined to do so?,57,59,topic_stance_votes_1
59,would  proof of creationism change your ethics?,evolution,support,"That is your perception. It is, however, false.
THere is no choice involved.. it is a purely mechanical. Therefore, you are buiding a false analogy.",59,60,topic_stance_votes_1
60,would  proof of creationism change your ethics?,evolution,support,"the only way the guy in china could know for 100% certain that you would choose a green shirt since last week, is if he was the one that made your decision for you. in other words, he would have to control your choice faculties and control your actions. otherwise it would be merely a lucky guess. foreknowledge removes free will",50,61,topic_stance_votes_1
61,would  proof of creationism change your ethics?,evolution,support,"but even in the cases where there is the absolute consequence of death, such as shooting oneself in the head, it does not prevent people from making that choice. people seem to have no problem knowing the inevitable dire consequences of a decision and still making that decision.",55,62,topic_stance_votes_1
62,would  proof of creationism change your ethics?,evolution,support,"Not at all. Maybe he's got a time travelling psychic power. He can see through my eyes, a week ahead. He has no ability to interfere with my actions, but he knows what I'll see next week.
The mechanism isn't important. We're just assuming that this guy knows somehow what shirt I was going to wear. His ability is 100% accurate, I'm unaware of it, and he's exerting no influence on me. If the situation seems less absurd if you substitue ""God"" for ""some guy in China"" then feel free to make that substitution. That is where this strated after all.",61,63,topic_stance_votes_1
63,would  proof of creationism change your ethics?,evolution,support,"But they dont know for sure that they are going to not ever be conscious ever again, or if they are going to go to heaven or hell. Thats what I am saying. You have the choice to do whatever you want without knowing for sure what the concequences are. That is what allows for free will. The fact that you dont really know of god is out there, ready to lay the smack down of you **** him off.",62,64,topic_stance_votes_1
64,would  proof of creationism change your ethics?,evolution,support,a time travelling psychic with the ability to see the future would mean that the future is fixed and predetermination exists. in such a scenario free will does not exist,63,65,topic_stance_votes_1
65,would  proof of creationism change your ethics?,evolution,support,"You keep saying that. And you seldom take more that two sentences to do so. Please, expand! Like I said, I've thought about this quite a bit. It's going to take more than two words to give me something new to chew on. Why does the fact that someone already knew what my choice was going to be mean I didn't actually choose? Please, use lots and lots of words! Feel free to ramble, I don't mind.",65,66,topic_stance_votes_1
66,would  proof of creationism change your ethics?,evolution,support,"and what i'm saying is that even though the reality of heaven and hell were blatantly apparent to everyone in the world, some people would still choose hell of their own accord. thats just the way it is. there are people brazen and rooted enough in their own preconception and outlook that even i the face of death and destruction they still willingly and deliberately stick to their decision. being certain of the outcome does little to change their minds about their actions",64,67,topic_stance_votes_1
67,would  proof of creationism change your ethics?,evolution,support,"lol
suppose it was knowable in some realm that you were definitely going to wear a green shirt next week tuesday. you have serveral shirts of various colors, all of them equally comfortable and stylish, all of them clean. you usually pick your shirts in no particular order, and you dont wear the same color twice in a row. if you are foreknown to be wearing the green shirt on tuesday, it eliminates the option to wear the green shirt on monday, and it eliminates the option of wearing any other color shirt than green on tuesday. in other words, the option of wearing a not-green shirt on tuesday does not exist. you could not choose, for example, a white shirt on tuesday, because it would make the prediction wrong.
seeing the future means that the path of options is already known. each decision you make can only be the decision you were foreseen making. the other options can never be chosen because they are not the ones you were foreseen to choose. events that lead to your decision making are also already foreknown, meaning that the other possible events that could have happened instead of the foreseen one could never possibly happen. in a future where the outcome is foreknown, only one option is choosable: the one that is foreknown. one option = no choice",66,68,topic_stance_votes_1
68,would  proof of creationism change your ethics?,evolution,support,"That is right. If the result in your choice is already known before it happens, with 100% accuracy, then it really isn't a choice at all. It might be an illusion of choice, but you could not do anything BUT that to begin with.",66,69,topic_stance_votes_1
69,would  proof of creationism change your ethics?,evolution,support,"There's a few places where I don't agree with your reasoning. You way ""in a future where the outcome is foreknown, only one option is choosable:"". I don't see that as being true. All the options were chooseable , it just so happens that only one was chosen. All the options were there at the ciritical moment, and it was my will which decided which path would be taken. Likewise, you say ""the other options can never be chosen because they are not the ones you were foreseen to choose"". It's the cause and effect you cite here that I disagree with. The other options were not ""not chosen"" because of forshadowing. They weren't chosen because I didn't choose them. The decision was mine. 
Let me give an example. If I let go of a rock, it's going to fall. This is known ahead of time. But what causes the rock to fall? Is it destiny or fate, since we know it's going to happen? No, it's gravity. Even though we know ahead of time what will happen, it's still gravity that's the motivation. It's gravity that makes the rock fall. Likewise, even if you know ahead of time what I'll choose, I'm still the motivation, I'm still the one choosing. 
Another question to ponder. Once again I'm wearing a green shirt. Does the fact that I'm aware of this now mean I had no choice this morning? Only one choice was made, the other options never materialized. Does that mean that there was no real choice? If not, then why is knowing the outcome after the event different from someone knowing the outcome before?",68,70,topic_stance_votes_1
70,would  proof of creationism change your ethics?,evolution,support,"I beleive in the possibility of only one future and choice at the same time it just mean the act of choice was decided in advance you just don't perceive it that way. 
It is the 1st of july in australia. I will wear my favorite green shirt (moleskin :) ) on the 3rd of july. Some could read this email on the 2nd and predict the future that I will wear a green shirt. You could drug me and put the green shirt on me to make live up to my word but that does not reduce my choice in the matter to 0%.",70,71,topic_stance_votes_1
71,would  proof of creationism change your ethics?,evolution,support,"Your way of seeing the future, and by the way it is just hypothetical, is nothing but knowing in advance what decision a person will make. That doesn’t rob that person of his/her free will. You are just an observer ahead of time.",68,72,topic_stance_votes_1
72,would  proof of creationism change your ethics?,evolution,support,"So? It still invalidates free will. This is particuarly true if the 'fore knower' is also the 'creator' If, ""before"" the universe began, the entity that created the universe KNEW you would pick that green shirt at that time show that entity is responsible.. since that entity created the conditions to begin with.
But, that isn't even needed. All that is needed is there to be one course of action open, not matter what the illusion of choice is.'",72,73,topic_stance_votes_1
73,would  proof of creationism change your ethics?,evolution,support,"If observing the choice of shirt after it happened does not invalidate free will being able to observe it before it happened would not invalidate free will. Arguing an all knowing all powerful god does not invalidate free will is somewhat trickier, but I don't think it would be impossible and I think theology conveniently argue how god restricts his own power to make it more clear that god has free will. I am much more open ended about ""supreme beings"" than most. If you can do anything you are no longer constrained by logic you get to choose to be able to make a rock you cannot lift (or even make :) ) or you could choose NOT to make a rock you cannot lift or make.",73,74,topic_stance_votes_1
74,would  proof of creationism change your ethics?,evolution,support,"I don’t understand how observing an event can decide the outcome of it. I assume we are not arguing about quantum events, but normal events. That you know what is going to happen in advance does not suppress free will. God might know in advance the outcome, so for God there appears to be no free will, not only because he can move up and down the timeline, but because he is on the complete time line.
Remember there are theories that say that every time a choice is made the Universe splits so there would be different universes for every different colour of shirt chosen. We only live in one particular one. Let’s say the green shirt universe. There is another universe where for instance the blue shirt was chosen.
Remember also that all this arguing is just hypothetical.",73,75,topic_stance_votes_1
75,would  proof of creationism change your ethics?,evolution,support,"Of course. However, as far as we know, time flows for US in one direction. If 
we only have one course of action open to us, then we have no free will. Our course of action is predetermined. Our decisions are known before we even know we have to make it. 
If there is no absolute knowlege of the future, then there is enough wiggle room for 'free will'",75,76,topic_stance_votes_1
76,would  proof of creationism change your ethics?,evolution,support,"Knowing in advance what option a person will choose only means that you know in advance what he freely will decide. He could have chosen differently and if he had you instantly would have known. That is all, and by the way if you say that time only flows in one direction then how can you travel into the future to see what colour shirt that person will choose?",76,77,topic_stance_votes_1
77,would  proof of creationism change your ethics?,evolution,support,"I don't think I believe in ""free will"" in the way I think you mean. 
Regardless of definition if you could prove to me some previously undiscovered phenomenon that explained the randomness of quantum mechanics, And then showed that was only one future, I would still like the legal system to still act as though people had ""free will"". If you proved there was a god that was certain about everything that would happen I would still think ""free will"" as plausible since if there is a god running around he can bend logic.",76,78,topic_stance_votes_1
78,would  proof of creationism change your ethics?,evolution,support,"in exactly one week away from now, there are virtually infinity possible different things you could be doing at that specific time. this is because there are an infinite number of possble ways and orders an infinite number of possible events could occur between now and that time. also, there are an infinite number of ways you could react to these infinite events, making infinity endings to the event-paths to next week
lets say i can travel into the future one week from now. i am now seeing the things that you will do next week. if the future i am seeing right now is the true future, then you will do nothing but fulfill what i am seeing next week. in order to do exactly what i am seeing you doing next week, a specific sequence of events throughout the entire world must occur in a very specific way and order. these events can do nothing but occur in exactly that way and order so that what i see you doing next week will be fulfilled.
in order to see the future exactly as it will occur, the events that will take place and the reactions that you will make to these events must also be specific to the outcome of next week's future. in other words, the single and specific action that you will be taking next week at this time can only be achieved if the specific path that leads to that specific event is followed. this path consists of the events that you encounter, and the reactions you make to these events. furthermore, nothing but these specific events and specific reactions can occur during this week, otherwise what you will be doing in exactly a week from now will be different to what i saw you doing next week in my time-travel trip
since no events except the specific events leading up to your foreseen actions can occur, and since no reactinos to these events except the specific reactions leading up to what i saw next week can occur, it means that there are no possible options to encounter or react to any other events than those in that specific event-path. there are no options other than those you must follow in order to stay on that event-path, therefore there are no choices",75,79,topic_stance_votes_1
79,would  proof of creationism change your ethics?,evolution,support,"So to dumb this up, are you saying that as you walk along a trail and the trail splits, and you choose the trail that leads to the left, the trail on the right ceases to exist? Or am I misinterpreting what you are saying? Hey! I think you just discribed a mutant version of schrodingers thought experiment. until something is observed it exists in all possible states. Once observed though, the wave function collapses into a single state. Somebody grab this and run with it!",79,80,topic_stance_votes_1
80,would  proof of creationism change your ethics?,evolution,support,"yes. time cannot be back-tracked. if you take the left path, you cannot at a later time end up where the right path would have taken you
you have to remember, arriving at a certain ""time"", from a wholistic view, means not only your location, state, action and physicality at that time, but also your mental state. the experiences you have stored in your mind, along with the location, posture, emotion, state and physical composition that you are in at this moment is unique, and only achievable by experiencing exactly what you've experienced throughtout your lifetime, and reacting exactly the way youve reacted to these experiences throughout your life time. every new experience you encounter and reaction you make puts you in a new wholistic state. such a state can be accomplished no other way, and by no other person.",80,81,topic_stance_votes_1
81,would  proof of creationism change your ethics?,evolution,support,Thats not what quantum ambiguity shows.,81,82,topic_stance_votes_1
82,would  proof of creationism change your ethics?,evolution,support,References for your claim are??,82,83,topic_stance_votes_1
83,would  proof of creationism change your ethics?,evolution,support,"Irwin schroedinger. Wave/particle experiments, Albert Einstein, Steven Hawkins. The quantum computer is based on the fact that a particle can exist in more than one state at the same time. Could this be one thing travelling down two paths at once?",83,84,topic_stance_votes_1
84,would  proof of creationism change your ethics?,evolution,support,It says that it can be ambigiuos to a point. SHow me where the path can be changed once known,84,85,topic_stance_votes_1
85,would  proof of creationism change your ethics?,evolution,support,"The outcome does change once known in the double slit experiment. When a single photon is observed passing through one of the slits, its state collapses to a point particle. If it is not observed, the photon quanta exibits characteristics akin to a wave. This means that until cause and effect are observed, the outcome will be every possible variation. 1 the photon is emitted from the source. 2 the photon passes through the double slit barrier wich either is or is not detecting wich one of the two slits the photon passes through. 3 the photon arrives at the detector as either a particle if it was observed passing through the slit. Or a wave if it was not. This means that as the photon is manifested in the source its state is affected by the observation that will or will not happen in the future at the double slit barrier. This is an example of a future event effecting the past.",85,86,topic_stance_votes_1
86,would  proof of creationism change your ethics?,evolution,support,"No, the event is not past. If so, that would violate the principles of cause/effect, where the effect has to be later in time than the cause.",86,87,topic_stance_votes_1
87,would  proof of creationism change your ethics?,evolution,support,"i still dont see what this has to do with what i said. the photon cannot at one point be a wave, then manifest the properties of a particle later in its journey. if it passes through the barrier as a wave, it is detected as a wave, if a particle, it is detected as such. there is no back-tracking involved, no rejoining of destination, no known outcome prior to passing the barrier. unless i totally missed what you were saying...",86,88,topic_stance_votes_1
88,would  proof of creationism change your ethics?,evolution,support,"You misunderstand the concept. By observing the photon passing through one of the slits, the detector causes the photon to be a particle. If the photon passes through the same experiment only without a detector present it manifests itsself as a wave. The ditector is not linked to the source, and therefore the ditector changes what happens at the source before the photon leaves the ditector. The effect influences the cause, what happens at the destination affects the path.",88,89,topic_stance_votes_1
89,would  proof of creationism change your ethics?,evolution,support,"very well. if this is the case then the detector's presnence must affect the properties of the radiation. even so, what does this have to do with knowing the outcome of something before it happens? my argument is that when a choice is made and a consequent action taken (which is mostly a reaction to something else), it moves the individual forward on an irreversible event-path which results in that individual's present state. if any future state of that individual is known, it means that the event-path needed to get to that state is also predefined and established. simply put, a foreseen future removes free will",89,90,topic_stance_votes_1
90,would  proof of creationism change your ethics?,evolution,support,"With regards to the function of time, the outcome depends upon whether time is linear and uni-dimensional, or not. The concept of alternate dimensions/realities/ parallel universes hints at multi-dimensional timeflow though how that relates to our reality is rather less than clear and opens a whole can of worms regarding what reality actually is.
There is some experimental evidence of non-linear time though by its very nature this is extremely bizare.",90,91,topic_stance_votes_1
91,would  proof of creationism change your ethics?,evolution,support,"I disagree with your statement that a forseen future removes free will, unless the future is open to be viewed by everyone. But you may be right, or mayabe the future cannot be seen by even God. I dont know, Ive never been able to test this. But my view is still the same, a forseen future does not remove free will.",90,92,topic_stance_votes_1
92,would  proof of creationism change your ethics?,evolution,support,Do you have any links to any of this experimental evidence?,91,93,topic_stance_votes_1
